7,0,5,3,2,10,8.46979,0.846979
7,0,4,5,1,10,5.56457,0.556457
7,0,8,2,0,10,6.34306,0.634306
7,0,4,3,3,10,6.66889,0.666889
7,0,3,5,2,10,6.53277,0.653277

7,1,10,0,0,10,6.1993,0.61993
7,1,9,0,1,10,6.27923,0.627923
7,1,10,0,0,10,3.86485,0.386485
7,1,10,0,0,10,4.44324,0.444324
7,1,10,0,0,10,5.11846,0.511846

7,2,5,2,3,10,6.59829,0.659829
7,2,6,4,0,10,6.11679,0.611679
7,2,5,3,2,10,6.08085,0.608085
7,2,3,6,1,10,6.09045,0.609045
7,2,4,3,3,10,7.02526,0.702526

7,3,5,3,2,10,5.26131,0.526131
7,3,2,3,5,10,6.98553,0.698553
7,3,6,3,1,10,5.92129,0.592129
7,3,7,3,0,10,5.98276,0.598276
7,3,7,1,2,10,5.5738,0.55738
