5	0	136	56	28	220	22582.063	103.5874541284
5	1	218	0	2	220	18960.6621	86.9755422018
5	2	133	55	32	220	23077.456	105.8598486239
5	3	132	46	42	220	22571.6592	103.539753211


AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
5,0,2,0,0,2,168.08,84.0398
5,0,1,1,0,2,166.183,83.0916
5,0,1,1,0,2,276.566,138.283
5,0,2,0,0,2,239.213,119.606
5,0,2,0,0,2,306.319,153.159
5,0,2,0,0,2,157.482,78.7409
5,0,2,0,0,2,157.127,78.5637
5,0,1,1,0,2,283.297,141.649
5,0,2,0,0,2,248.768,124.384
5,0,2,0,0,2,172.532,86.2659
5,0,1,0,1,2,248.18,124.09
5,0,2,0,0,2,113.062,56.5311
5,0,0,0,2,2,274.666,137.333
5,0,2,0,0,2,246.143,123.071
5,0,2,0,0,2,168.299,84.1496
5,0,1,1,0,2,186.578,93.2892
5,0,0,0,2,2,229.184,114.592
5,0,1,1,0,2,237.419,118.71
5,0,1,1,0,2,128.434,64.2169
5,0,2,0,0,2,188.802,94.4008
5,0,1,1,0,2,180.769,90.3843
5,0,1,1,0,2,158.216,79.1081
5,0,1,1,0,2,210.765,105.382
5,0,0,1,1,2,234.042,117.021
5,0,2,0,0,2,283.37,141.685
5,0,1,1,0,2,195.116,97.5582
5,0,2,0,0,2,230.076,115.038
5,0,1,1,0,2,195.356,97.678
5,0,1,0,1,2,223.363,111.682
5,0,2,0,0,2,212.877,106.438
5,0,2,0,0,2,175.266,87.6332
5,0,1,0,1,2,231.794,115.897
5,0,2,0,0,2,208.468,104.234
5,0,1,1,0,2,224.587,112.293
5,0,1,0,1,2,174.166,87.0828
5,0,1,0,1,2,158.516,79.2581
5,0,1,0,1,2,176.31,88.1551
5,0,0,2,0,2,232.186,116.093
5,0,1,1,0,2,175.275,87.6373
5,0,2,0,0,2,244.445,122.222
5,0,2,0,0,2,133.711,66.8555
5,0,1,1,0,2,218.588,109.294
5,0,1,1,0,2,116.653,58.3266
