6	0	99	64	37	200	18306.1249	92.4551747475
6	1	198	0	2	200	14969.1361	75.6016868687
6	2	108	50	42	200	18789.2206	94.8950494949
6	3	111	49	40	200	17343.242	87.592140404


AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
6,1,2,0,0,2,135.808,67.9038
6,1,2,0,0,2,179.251,89.6254
6,1,2,0,0,2,203.636,101.818
6,1,2,0,0,2,102.166,51.0828
6,1,2,0,0,2,115.526,57.7632
6,1,2,0,0,2,121.078,60.5389
6,1,2,0,0,2,123.958,61.9789
6,1,2,0,0,2,251.759,125.88
6,1,2,0,0,2,100.325,50.1627
6,1,2,0,0,2,168.456,84.228
6,1,2,0,0,2,145.695,72.8477
6,1,2,0,0,2,173.072,86.5361
6,1,2,0,0,2,140.718,70.3591
6,1,2,0,0,2,161.85,80.9248
6,1,2,0,0,2,121.533,60.7663
6,1,2,0,0,2,153.1,76.5502
6,1,2,0,0,2,153.02,76.5098
6,1,2,0,0,2,132.818,66.4092
6,1,2,0,0,2,161.765,80.8825
6,1,2,0,0,2,136.299,68.1495
6,1,2,0,0,2,194.614,97.307
6,1,2,0,0,2,106.219,53.1096
6,1,2,0,0,2,135.884,67.9419
6,1,2,0,0,2,145.673,72.8367
6,1,2,0,0,2,139.192,69.5959
6,1,2,0,0,2,165.188,82.5942
6,1,2,0,0,2,156.39,78.195
6,1,2,0,0,2,143.394,71.6971
6,1,2,0,0,2,118.861,59.4307
6,1,2,0,0,2,137.122,68.561
6,1,2,0,0,2,96.0089,48.0044
6,1,2,0,0,2,131.382,65.6912
6,1,2,0,0,2,98.3761,49.1881
6,1,2,0,0,2,264.543,132.271
6,1,2,0,0,2,132.535,66.2676
6,1,2,0,0,2,164.323,82.1617
6,1,2,0,0,2,134.62,67.3102
6,1,2,0,0,2,142.182,71.0909
6,1,2,0,0,2,182.787,91.3935
6,1,2,0,0,2,170.981,85.4903
6,1,2,0,0,2,179.636,89.8182
6,1,2,0,0,2,147.954,73.9768
6,1,2,0,0,2,139.112,69.556
6,1,1,0,1,2,100.405,50.2027
6,1,2,0,0,2,157.488,78.7442
6,1,2,0,0,2,167.309,83.6546
6,1,2,0,0,2,194.937,97.4683
6,1,2,0,0,2,142.915,71.4577
6,1,2,0,0,2,252.547,126.273
6,1,2,0,0,2,124.986,62.4931
6,1,2,0,0,2,191.289,95.6443
6,1,2,0,0,2,74.5308,37.2654
6,1,2,0,0,2,118.949,59.4744


6,2,1,1,0,2,183.233,91.6163
6,2,1,0,1,2,232.35,116.175
6,2,1,0,1,2,164.555,82.2775
6,2,2,0,0,2,256.732,128.366
6,2,1,1,0,2,316.778,158.389
6,2,1,1,0,2,176.713,88.3565
6,2,1,1,0,2,235.162,117.581
6,2,1,1,0,2,193.847,96.9234
6,2,1,0,1,2,124.209,62.1047
6,2,1,0,1,2,181.284,90.6422
6,2,2,0,0,2,151.519,75.7596
6,2,1,0,1,2,234.775,117.388
6,2,0,2,0,2,179.373,89.6863
6,2,1,0,1,2,220.133,110.066
6,2,1,0,1,2,176.977,88.4886
6,2,0,1,1,2,172.332,86.1661
6,2,2,0,0,2,144.248,72.1241
6,2,2,0,0,2,162.485,81.2426
6,2,2,0,0,2,178.056,89.0278
6,2,0,0,2,2,199.202,99.6012
6,2,1,1,0,2,161.203,80.6014
6,2,1,1,0,2,250.872,125.436
6,2,1,1,0,2,158.639,79.3193
6,2,1,0,1,2,227.904,113.952
6,2,1,0,1,2,223.97,111.985
6,2,1,0,1,2,127.385,63.6924
6,2,1,1,0,2,208.632,104.316
6,2,1,1,0,2,263.704,131.852
6,2,1,1,0,2,219.758,109.879
6,2,1,0,1,2,178.54,89.2699
6,2,1,1,0,2,177.687,88.8434
6,2,1,1,0,2,254.239,127.12
6,2,1,0,1,2,223.518,111.759
6,2,1,0,1,2,181.401,90.7007
6,2,1,0,1,2,126.592,63.2961
6,2,0,1,1,2,200.911,100.456
6,2,0,1,1,2,195.804,97.902
6,2,2,0,0,2,161.244,80.6222
6,2,1,1,0,2,208.745,104.372
6,2,0,0,2,2,149.709,74.8544
6,2,1,1,0,2,148.245,74.1226
6,2,2,0,0,2,210.337,105.168
6,2,1,1,0,2,170.885,85.4426
6,2,1,1,0,2,192.141,96.0704
6,2,1,0,1,2,133.487,66.7433
6,2,2,0,0,2,181.121,90.5604
6,2,0,1,1,2,150.623,75.3116
6,2,1,1,0,2,215.852,107.926
6,2,1,1,0,2,113.922,56.9611
6,2,2,0,0,2,241.349,120.675
6,2,2,0,0,2,161.734,80.8669
6,2,1,1,0,2,180.902,90.4511
6,2,2,0,0,2,258.537,129.268
6,2,1,0,1,2,188.289,94.1443
6,2,1,1,0,2,156.668,78.3339
6,2,1,0,1,2,151.196,75.5981
6,2,0,1,1,2,215.088,107.544
6,2,2,0,0,2,203.864,101.932
6,2,2,0,0,2,266.608,133.304
6,2,1,0,1,2,132.43,66.2148
6,2,2,0,0,2,237.186,118.593
6,2,1,1,0,2,174.434,87.2171
6,2,1,0,1,2,138.511,69.2556
6,2,0,0,2,2,178.482,89.2409
6,2,1,1,0,2,206.078,103.039
6,2,0,1,1,2,175.034,87.5172
6,2,1,1,0,2,239.568,119.784
6,2,0,1,1,2,159.565,79.7825
6,2,2,0,0,2,147.64,73.8198
6,2,2,0,0,2,150.374,75.187
6,2,1,0,1,2,197.505,98.7526
6,2,2,0,0,2,144.725,72.3627
6,2,1,0,1,2,143.745,71.8725
6,2,1,1,0,2,212.585,106.292
6,2,2,0,0,2,258.21,129.105
6,2,1,1,0,2,196.689,98.3446
6,2,2,0,0,2,212.22,106.11
6,2,1,1,0,2,137.073,68.5365
6,2,1,0,1,2,250.38,125.19
6,2,0,2,0,2,199.325,99.6625
6,2,1,1,0,2,204.223,102.112
6,2,1,0,1,2,148.262,74.1308
6,2,1,1,0,2,198.448,99.2242
6,2,1,1,0,2,174.124,87.0619
6,2,1,1,0,2,196.555,98.2777
6,2,2,0,0,2,165.339,82.6695
6,2,0,0,2,2,127.471,63.7356
6,2,0,1,1,2,180.845,90.4226
6,2,0,1,1,2,231.442,115.721
6,2,2,0,0,2,291.243,145.622
6,2,1,1,0,2,203.382,101.691
6,2,0,1,1,2,93.5863,46.7931
6,2,1,0,1,2,97.0883,48.5442
6,2,2,0,0,2,137.363,68.6813
6,2,1,1,0,2,116.143,58.0715
6,2,1,1,0,2,152.039,76.0193
6,2,1,1,0,2,233.185,116.592
6,2,2,0,0,2,190.2,95.0999
6,2,1,1,0,2,185.534,92.767
6,2,2,0,0,2,245.721,122.86


6,3,0,2,0,2,167.975,83.9877
6,3,0,1,1,2,148.858,74.4292
6,3,2,0,0,2,181.825,90.9127
6,3,0,0,2,2,220.428,110.214
6,3,1,1,0,2,196.293,98.1465
6,3,2,0,0,2,205.725,102.862
6,3,1,1,0,2,189.062,94.531
6,3,2,0,0,2,142.652,71.3259
6,3,2,0,0,2,189.761,94.8805
6,3,0,1,1,2,168.587,84.2933
6,3,1,1,0,2,197.619,98.8094
6,3,2,0,0,2,190.762,95.3811
6,3,1,1,0,2,200.918,100.459
6,3,2,0,0,2,246.789,123.394
6,3,0,1,1,2,182.028,91.014
6,3,0,2,0,2,164.083,82.0416
6,3,2,0,0,2,149.345,74.6723
6,3,1,0,1,2,154.23,77.115
6,3,1,0,1,2,179.347,89.6737
6,3,1,1,0,2,105.486,52.7429
6,3,0,0,2,2,200.571,100.286
6,3,1,1,0,2,207.862,103.931
6,3,0,1,1,2,226.711,113.356
6,3,1,0,1,2,209.894,104.947
6,3,1,1,0,2,167.934,83.9669
6,3,1,0,1,2,178.567,89.2836
6,3,0,0,2,2,196.671,98.3355
6,3,1,1,0,2,117.331,58.6654
6,3,1,1,0,2,155.57,77.7849
6,3,0,1,1,2,156.631,78.3156
6,3,0,1,1,2,120.734,60.3669
6,3,2,0,0,2,190.418,95.2089
6,3,2,0,0,2,136.095,68.0477
6,3,2,0,0,2,247.218,123.609
6,3,0,1,1,2,172.479,86.2393
6,3,1,1,0,2,115.559,57.7797
6,3,1,1,0,2,204.226,102.113
6,3,2,0,0,2,162.968,81.4842
6,3,1,0,1,2,189.498,94.7491
6,3,2,0,0,2,180.833,90.4166
6,3,1,0,1,2,155.364,77.6822
6,3,1,1,0,2,163.777,81.8883
6,3,1,1,0,2,200.104,100.052
6,3,1,0,1,2,166.62,83.3098
6,3,2,0,0,2,233.852,116.926
6,3,1,1,0,2,217.268,108.634
6,3,0,1,1,2,187.764,93.882
6,3,1,1,0,2,142.716,71.3579
6,3,1,1,0,2,220.173,110.087
6,3,0,1,1,2,179.289,89.6444
6,3,2,0,0,2,188.187,94.0935
6,3,2,0,0,2,214.487,107.243
6,3,1,1,0,2,127.823,63.9117
6,3,2,0,0,2,144.239,72.1196
6,3,0,1,1,2,159.481,79.7406
6,3,2,0,0,2,128.639,64.3194
6,3,2,0,0,2,168.711,84.3553
6,3,2,0,0,2,127.92,63.9602
6,3,1,0,1,2,255.88,127.94
6,3,1,0,1,2,161.232,80.6162
6,3,1,0,1,2,153.378,76.6892
6,3,2,0,0,2,167.229,83.6144
6,3,1,0,1,2,211.852,105.926
6,3,2,0,0,2,168.402,84.2008
6,3,1,1,0,2,162.761,81.3805
6,3,1,1,0,2,196.589,98.2945
6,3,2,0,0,2,211.757,105.879
6,3,1,1,0,2,166.461,83.2306
6,3,0,2,0,2,145.921,72.9606
6,3,0,2,0,2,141.122,70.5608
6,3,0,1,1,2,112.388,56.1938
6,3,1,0,1,2,153.517,76.7587
6,3,1,0,1,2,163.462,81.7312
6,3,2,0,0,2,151.541,75.7704
6,3,1,1,0,2,182.927,91.4633
6,3,2,0,0,2,107.376,53.6882
6,3,1,1,0,2,189.704,94.8519
6,3,2,0,0,2,131.475,65.7374
6,3,1,1,0,2,161.673,80.8364
6,3,1,0,1,2,174.075,87.0376
6,3,1,1,0,2,178.817,89.4085
6,3,1,0,1,2,139.411,69.7054
6,3,1,0,1,2,161.376,80.6881
6,3,0,0,2,2,166.893,83.4463
6,3,2,0,0,2,119.84,59.9199
6,3,0,1,1,2,170.34,85.1701
6,3,1,1,0,2,122.663,61.3317
6,3,2,0,0,2,127.184,63.5922
6,3,1,1,0,2,180.929,90.4644
6,3,0,1,1,2,158.31,79.1551
6,3,1,0,1,2,209.032,104.516
6,3,2,0,0,2,142.177,71.0885
6,3,2,0,0,2,293.976,146.988
6,3,1,1,0,2,177.646,88.8232
6,3,1,1,0,2,228.026,114.013
6,3,2,0,0,2,167.34,83.6702
6,3,2,0,0,2,217.161,108.58
6,3,1,0,1,2,128.653,64.3266
6,3,2,0,0,2,186.802,93.4009
6,3,1,0,1,2,149.987,74.9933
